year,perwt,countyfip,edu-three-cat,county
2007,92,06037,Advanced degree,Los Angeles
2007,182,06077,High school or less,San Joaquin
2007,217,06065,Bachelor's degree,Riverside
2007,53,06083,High school or less,Santa Barbara
2007,46,06083,High school or less,Santa Barbara
2007,75,06073,Advanced degree,San Diego
2007,76,06085,Advanced degree,Santa Clara
2007,49,06085,Advanced degree,Santa Clara
2007,90,06037,,Los Angeles
2007,64,06073,,San Diego
2007,364,06065,High school or less,Riverside
2007,373,06065,High school or less,Riverside
2007,175,06081,High school or less,San Mateo
2007,68,06075,High school or less,San Francisco
2007,97,06075,High school or less,San Francisco
2007,161,06037,High school or less,Los Angeles
2007,159,06037,,Los Angeles
2007,87,06037,Bachelor's degree,Los Angeles
2007,64,06037,Bachelor's degree,Los Angeles
2007,246,06073,High school or less,San Diego
2007,88,06013,Bachelor's degree,Contra Costa
2007,80,06013,,Contra Costa
2007,150,06065,High school or less,Riverside
2007,86,06059,High school or less,Orange
2007,42,06059,Bachelor's degree,Orange
2007,59,06001,High school or less,Alameda
2007,65,06085,Bachelor's degree,Santa Clara
2007,65,06085,Bachelor's degree,Santa Clara
2007,38,06075,Advanced degree,San Francisco
2007,242,06085,High school or less,Santa Clara
2007,202,06085,High school or less,Santa Clara
2007,127,06037,High school or less,Los Angeles
2007,60,06059,Bachelor's degree,Orange
2007,58,06059,Advanced degree,Orange
2007,174,06037,Bachelor's degree,Los Angeles
2007,172,06037,Bachelor's degree,Los Angeles
2007,236,06087,High school or less,Santa Cruz
2007,61,06073,Bachelor's degree,San Diego
2007,354,06075,High school or less,San Francisco
2007,301,06037,Advanced degree,Los Angeles
2007,73,06001,,Alameda
2007,144,06037,High school or less,Los Angeles
2007,136,06037,High school or less,Los Angeles
2007,128,06037,High school or less,Los Angeles
2007,202,06037,High school or less,Los Angeles
2007,49,06013,High school or less,Contra Costa
2007,43,06013,High school or less,Contra Costa
2007,63,06059,,Orange
2007,58,06059,High school or less,Orange
2007,48,06037,Bachelor's degree,Los Angeles
2007,50,06037,High school or less,Los Angeles
2007,319,06047,High school or less,Merced
2007,72,06073,Advanced degree,San Diego
2007,75,06073,Advanced degree,San Diego
2007,142,06037,Bachelor's degree,Los Angeles
2007,335,06037,High school or less,Los Angeles
2007,338,06037,High school or less,Los Angeles
2007,71,06059,,Orange
2007,321,06059,High school or less,Orange
2007,317,06073,Bachelor's degree,San Diego
2007,73,06075,Bachelor's degree,San Francisco
2007,81,06071,Advanced degree,San Bernardino
2007,77,06037,High school or less,Los Angeles
2007,78,06037,High school or less,Los Angeles
2007,72,06037,Bachelor's degree,Los Angeles
2007,72,06037,Bachelor's degree,Los Angeles
2007,68,06037,,Los Angeles
2007,58,06037,,Los Angeles
2007,71,06001,High school or less,Alameda
2007,250,06019,High school or less,Fresno
2007,72,06037,Bachelor's degree,Los Angeles
2007,65,06037,Bachelor's degree,Los Angeles
2007,100,06037,High school or less,Los Angeles
2007,82,06037,High school or less,Los Angeles
2007,75,06085,Bachelor's degree,Santa Clara
